feature,mean_shap
payment_charge_ratio,1.1594313
provider_avg_payment,0.2993287
provider_avg_charge,0.2637594
service_days,0.07626297
provider_avg_services,0.030092072
provider_unique_beneficiaries,0.008131425
total_services,0.007950925
avg_beneficiary_risk_score,0.0051151155
log_submitted_charge_amount,0.003805688
charge_per_beneficiary,0.0035393036
specialty_encoded,0.0030315297
services_deviation,0.002512779
avg_charge_amount,0.0024916902
years_in_practice,0.0023200028
services_per_beneficiary,0.0016142962
state_encoded,0.0012084359
charge_deviation,0.0008554292
provider_total_claims,0.0007522103
avg_medicare_payment,0.00056812976
log_total_medicare_payment,0.0004923117
unique_beneficiaries,0.00016044146
log_avg_charge_amount,0.000112654394
payment_per_service,9.7710516e-05
place_encoded,3.4672063e-05
inpatient_flag,1.7057762e-05
is_solo_practice,5.4668294e-06
high_risk_score_flag,0.0
